country,total_population,gdp,defense_budget,external_debt,total_manpower,active_personnel,reserve_personnel,air_force_personnel,army_personnel,navy_personnel,total_aircraft,attack_aircraft,fighter_aircraft,transport_aircraft,helicopters,trainer_aircraft,special_mission_aircraft,attack_helicopters,tanker_aircraft,naval_assets,aircraft_carriers,helicopter_carriers,destroyers,frigates,corvettes,submarines,patrol_vessel,mine_warfare,tanks,self_propelled_artillery,towed_artillery,rocket_artillery,power_index,total_military_assets,assets_per_capita,budget_to_gdp_ratio,rank,power_index_rank_gap
Austria,8967982.0,581131000000.0,6103900800.0,693000000000.0,4035592.0,25000.0,125600.0,4300.0,141000.0,0.0,90.0,0.0,15.0,11.0,41.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,30.0,0.0,0.0,1.3759,146.0,3.6178087378506054e-05,0.010503485100605543,67,66
Philippines,118277063.0,1202000000000.0,6571641011.0,63241000000.0,50859137.0,160000.0,1500000.0,33600.0,1310000.0,42270.0,204.0,17.0,0.0,23.0,130.0,23.0,11.0,6.0,0.0,127.0,0.0,0.0,0.0,4.0,1.0,0.0,60.0,0.0,18.0,12.0,296.0,0.0,0.6993,349.0,6.862090483367817e-06,0.0054672554168053245,41,40
Honduras,9529188.0,71297000000.0,612300000.0,7785000000.0,4192843.0,52225.0,0.0,8520.0,83000.0,4000.0,45.0,7.0,6.0,10.0,11.0,10.0,1.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,0.0,22.0,0.0,48.0,0.0,2.2575,165.0,3.935277328533408e-05,0.008588019131239744,103,102
Bhutan,884546.0,11517000000.0,26600000.0,2827000000.0,203446.0,16000.0,50000.0,0.0,66000.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7991,2.0,9.830618444206325e-06,0.002309629243726665,145,144
Democratic Republic Of The Congo,115403027.0,164367000000.0,960000000.0,7926000000.0,39237029.0,166580.0,30800.0,2550.0,103000.0,6700.0,56.0,6.0,0.0,10.0,38.0,2.0,0.0,9.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,212.0,16.0,125.0,81.0,1.3051,284.0,7.23806076143023e-06,0.005840588439285258,64,63
Australia,26768598.0,1635000000000.0,57350000000.0,3770254730000.0,11242811.0,58910.0,33270.0,21584.0,44235.0,20607.0,348.0,71.0,24.0,37.0,72.0,107.0,31.0,22.0,6.0,45.0,0.0,2.0,3.0,7.0,0.0,6.0,13.0,3.0,46.0,0.0,48.0,8.0,0.3208,439.0,3.9047174234272904e-05,0.03507645259938838,17,16
Israel,9402617.0,472177000000.0,34600000000.0,163350000000.0,3949099.0,169500.0,465000.0,89000.0,526000.0,19500.0,597.0,45.0,239.0,14.0,127.0,148.0,19.0,48.0,13.0,82.0,0.0,0.0,0.0,0.0,7.0,6.0,66.0,0.0,1300.0,323.0,171.0,228.0,0.2707,1979.0,0.000501126965923113,0.07327760564364634,15,14
Kuwait,3138355.0,225947000000.0,7987000000.0,60500000000.0,1726095.0,78000.0,24000.0,2500.0,103000.0,4000.0,133.0,0.0,47.0,2.0,68.0,13.0,0.0,16.0,3.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,0.0,367.0,51.0,0.0,27.0,1.7161,623.0,0.0003609303080073808,0.035348997773814214,76,75
Iraq,42083436.0,585887000000.0,8000000000.0,15580000000.0,17675043.0,193000.0,0.0,5000.0,180000.0,3000.0,360.0,36.0,26.0,15.0,183.0,111.0,17.0,39.0,0.0,67.0,0.0,0.0,0.0,0.0,1.0,0.0,55.0,0.0,1188.0,434.0,610.0,572.0,0.8115,1615.0,9.137177205170024e-05,0.013654510170049856,44,43
South Korea,52081799.0,2607000000000.0,44800000000.0,553871450000.0,26040900.0,450000.0,3100000.0,65000.0,365000.0,70000.0,1540.0,98.0,242.0,40.0,827.0,335.0,35.0,113.0,4.0,215.0,0.0,2.0,14.0,18.0,3.0,22.0,96.0,14.0,1831.0,2780.0,5800.0,525.0,0.1642,3586.0,0.00013770645407800805,0.01718450326045263,5,4
Lithuania,2628186.0,136227000000.0,5651760000.0,48400000000.0,1708321.0,23000.0,104000.0,1500.0,21000.0,700.0,9.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,16.0,54.0,0.0,1.8949,22.0,1.287814175438925e-05,0.04148781078640798,88,87
